Item,Perishability_Type,Season,Mandi_Location,Wholesale_Base_Price,Temperature_C,Rainfall_MM,Fuel_Price_PKR,Distance_KM,Arrival_Trucks,Demand_Index,Spoilage_Risk,Retail_Price_PKR
Ginger,Low,Winter,Peshawar Central Mandi,615,3.7,8.0,278.0,478,100,1,Low,642.73
Strawberry,High,Summer,Quetta Satellite Town Mandi,348,35.1,4.0,284.5,631,8,1,High,507.7
Apple (Garcha),Low,Spring,Multan Goods Market,290,28.5,24.4,272.5,65,102,4,Medium,337.36
Tomato,High,Monsoon,Lahore Badami Bagh,174,35.5,54.1,278.0,304,44,2,High,252.71
Mulberry (Shahtoot),High,Monsoon,Lahore Badami Bagh,178,33.2,82.2,292.0,244,85,4,Medium,219.75
Custard Apple (Sharifa),High,Monsoon,Sukkur Grain Market,377,33.4,103.0,284.5,160,65,5,Medium,443.37
Papaya,High,Spring,Rawalpindi Raja Bazar,205,19.1,5.7,278.0,484,23,2,Low,233.41
Mustard Greens (Sarson),High,Monsoon,Hyderabad New Mandi,63,29.4,77.6,292.0,130,80,5,Medium,80.64
Lychee,High,Spring,Hyderabad New Mandi,412,25.0,9.2,284.5,292,77,4,Low,429.54
Kiwi (Imported),Medium,Winter,Gujranwala Fruit Market,651,4.0,12.7,284.5,120,59,4,Low,658.41
Sarda,Medium,Winter,Islamabad Sabzi Mandi,82,3.1,9.1,278.0,421,20,1,Low,106.6
Spring Onion,High,Summer,Islamabad Sabzi Mandi,61,30.8,8.8,278.0,456,7,3,Low,89.1
Dates (Aseel),Low,Spring,Faisalabad Grain Market,450,19.3,13.4,292.0,323,51,1,Low,469.74
Drumstick (Sohanjna),Medium,Monsoon,Rawalpindi Raja Bazar,374,28.8,44.4,272.5,450,26,1,Medium,455.81
Potato,Low,Summer,Lahore Badami Bagh,57,35.4,35.7,278.0,156,88,3,Medium,74.74
Sweet Potato (Shakarkandi),Low,Spring,Rawalpindi Raja Bazar,75,28.1,26.5,292.0,235,61,4,Medium,100.84
Turnip (Shalgam),Medium,Spring,Islamabad Sabzi Mandi,43,22.7,26.4,284.5,381,4,3,Medium,74.73
Potato,Low,Winter,Lahore Badami Bagh,53,19.1,24.0,292.0,362,54,3,Medium,83.22
Garlic (Local),Low,Summer,Gujranwala Fruit Market,352,32.2,32.9,278.0,278,102,5,Medium,421.12
Wood Apple (Bael),Low,Summer,Karachi Sabzi Mandi,176,36.1,18.0,305.0,274,62,2,Low,193.55
Mango (Anwar Ratol),High,Monsoon,Hyderabad New Mandi,454,33.9,100.6,278.0,102,9,1,Medium,528.46
Potato,Low,Winter,Karachi Sabzi Mandi,50,18.2,23.9,292.0,736,24,4,Medium,102.99
Bottle Gourd (Lauki),Medium,Spring,Hyderabad New Mandi,98,27.2,7.2,305.0,250,86,2,Low,113.99
Zucchini (Yellow),Medium,Winter,Quetta Satellite Town Mandi,240,11.2,8.6,278.0,820,40,3,Medium,323.82
Colocasia Leaves,High,Spring,Peshawar Central Mandi,54,28.4,14.9,272.5,345,87,4,Low,73.79
Lychee,High,Summer,Islamabad Sabzi Mandi,456,45.4,39.0,305.0,457,58,3,High,644.87
Sarda,Medium,Winter,Quetta Satellite Town Mandi,93,7.2,0.7,292.0,326,14,3,Low,113.73
Green Chilies,High,Monsoon,Quetta Satellite Town Mandi,209,28.6,91.2,305.0,599,53,5,High,320.63
Apple (Kala Kulu),Low,Spring,Hyderabad New Mandi,439,27.7,22.5,305.0,286,67,1,Medium,523.09
Onion,Low,Summer,Karachi Sabzi Mandi,132,44.5,37.0,292.0,824,73,4,High,228.57
Green Chickpeas (Chholia),High,Winter,Sukkur Grain Market,314,6.0,1.3,272.5,321,21,1,Low,332.43
Tinda,High,Monsoon,Peshawar Central Mandi,132,29.9,108.3,292.0,216,33,1,Medium,165.07
Lemon (Desi),Medium,Winter,Lahore Badami Bagh,179,15.1,0.8,305.0,377,22,5,Low,203.93
Wild Plum (Jaman),High,Spring,Peshawar Central Mandi,171,19.9,27.9,292.0,333,33,3,Medium,217.3
Mosambi (Sweet Lime),Medium,Monsoon,Quetta Satellite Town Mandi,254,32.0,91.2,284.5,377,20,2,Medium,314.87
Tinda,High,Spring,Gujranwala Fruit Market,97,19.1,17.3,292.0,141,105,1,Low,105.62
Apricot (Khubani),High,Summer,Quetta Satellite Town Mandi,287,45.2,36.1,272.5,396,64,4,High,410.21
Banana (Sindhi),High,Monsoon,Lahore Badami Bagh,181,31.4,86.9,292.0,88,9,3,Medium,214.85
Capsicum (Shimla Mirch),High,Winter,Quetta Satellite Town Mandi,132,15.1,10.0,284.5,519,21,4,Medium,183.38
Lettuce,High,Summer,Multan Goods Market,108,35.3,3.6,284.5,76,17,1,Medium,128.95
Lychee,High,Winter,Gujranwala Fruit Market,362,5.5,24.6,305.0,149,105,3,Medium,425.9
Raw Banana (Kacha Kela),Medium,Summer,Faisalabad Grain Market,76,45.7,13.9,292.0,234,8,2,Medium,102.63
Red Bell Pepper,High,Winter,Lahore Badami Bagh,351,16.9,19.1,292.0,121,7,3,Low,360.05
Plum (Aloo Bukhara),High,Spring,Peshawar Central Mandi,410,29.6,1.2,272.5,237,12,3,Low,424.49
Red Chili (Fresh),High,Spring,Hyderabad New Mandi,251,24.9,21.0,292.0,235,38,5,Medium,303.52
Ridge Gourd (Tori),High,Summer,Faisalabad Grain Market,75,44.9,32.1,278.0,286,46,1,High,117.91
Rambutan (Imported),High,Summer,Hyderabad New Mandi,1004,35.0,28.1,284.5,283,69,4,High,1372.43
Pineapple,Low,Monsoon,Lahore Badami Bagh,554,35.7,81.3,272.5,145,75,1,Medium,645.39
Mosambi (Sweet Lime),Medium,Summer,Peshawar Central Mandi,132,39.0,17.6,272.5,672,45,1,Medium,190.05
Sweet Melon (Garma),Medium,Summer,Multan Goods Market,94,33.7,33.3,305.0,211,31,3,Medium,121.93
Grapefruit,Medium,Monsoon,Hyderabad New Mandi,175,32.0,50.8,292.0,200,84,4,Medium,213.63
Falsa,High,Summer,Peshawar Central Mandi,184,46.5,33.8,292.0,418,75,5,High,274.12
Plum (Aloo Bukhara),High,Winter,Rawalpindi Raja Bazar,390,9.6,19.5,292.0,193,95,3,Low,401.88
Rambutan (Imported),High,Spring,Faisalabad Grain Market,1978,20.0,29.2,305.0,267,97,5,Medium,2291.9
Wood Apple (Bael),Low,Monsoon,Multan Goods Market,179,27.0,110.5,292.0,210,76,4,Medium,218.86
Cluster Beans (Gwar),Medium,Monsoon,Sukkur Grain Market,142,38.0,63.2,292.0,47,22,3,Medium,166.75
Bottle Gourd (Lauki),Medium,Summer,Sukkur Grain Market,54,44.6,36.6,284.5,214,78,3,Medium,74.95
Fenugreek (Methi),High,Spring,Hyderabad New Mandi,79,29.4,21.6,292.0,190,20,1,Medium,102.62
Eggplant (Baingan),Medium,Monsoon,Islamabad Sabzi Mandi,95,33.4,48.4,272.5,316,63,1,Medium,127.26
Mint (Pudina),High,Winter,Hyderabad New Mandi,57,10.4,9.9,292.0,103,35,3,Low,63.64
Spinach (Palak),High,Summer,Karachi Sabzi Mandi,42,30.4,11.4,278.0,371,79,3,Low,63.66
Bottle Gourd (Lauki),Medium,Spring,Islamabad Sabzi Mandi,60,26.9,9.1,278.0,485,37,3,Low,88.44
Dates (Aseel),Low,Summer,Islamabad Sabzi Mandi,407,30.6,30.8,278.0,406,80,3,Medium,491.73
Cucumber (Kheera),High,Summer,Faisalabad Grain Market,80,44.6,1.1,284.5,285,71,4,Medium,109.14
Beetroot (Chukandar),Medium,Winter,Peshawar Central Mandi,60,17.0,19.9,278.0,302,76,5,Low,77.78
Broccoli,High,Winter,Rawalpindi Raja Bazar,269,13.2,1.1,278.0,638,22,2,Medium,346.69
Green Chickpeas (Chholia),High,Winter,Islamabad Sabzi Mandi,160,19.0,2.5,305.0,510,40,5,Medium,216.96
Melon (Kharbooza),Medium,Monsoon,Faisalabad Grain Market,103,34.6,101.1,278.0,142,71,1,Medium,126.74
Lychee,High,Spring,Quetta Satellite Town Mandi,390,29.4,28.4,278.0,762,60,5,Medium,493.0
Dragon Fruit,Medium,Monsoon,Peshawar Central Mandi,1021,29.3,58.6,292.0,479,76,4,Medium,1203.52
Bottle Gourd (Lauki),Medium,Summer,Multan Goods Market,62,37.4,37.4,272.5,176,71,2,Medium,81.42
Red Bell Pepper,High,Spring,Islamabad Sabzi Mandi,305,26.7,27.4,272.5,252,87,4,Medium,365.26
Mango (Sindhri),High,Spring,Lahore Badami Bagh,241,20.6,2.0,278.0,258,108,5,Low,256.15
Red Bell Pepper,High,Summer,Gujranwala Fruit Market,495,30.4,2.9,292.0,84,33,2,Low,500.37
Pomegranate (Kandhari),Low,Summer,Karachi Sabzi Mandi,771,45.1,34.9,278.0,211,57,1,Medium,898.95
Cabbage,Medium,Monsoon,Lahore Badami Bagh,106,37.0,72.7,272.5,121,21,5,Medium,129.79
Pineapple,Low,Winter,Multan Goods Market,453,10.4,4.8,278.0,46,33,5,Low,456.33
Plum (Aloo Bukhara),High,Winter,Peshawar Central Mandi,310,9.9,3.9,278.0,390,66,5,Low,332.92
Dragon Fruit,Medium,Summer,Hyderabad New Mandi,795,41.1,0.6,272.5,110,76,2,Medium,920.61
Pear (Nashpati),Medium,Winter,Sukkur Grain Market,234,9.7,24.6,278.0,258,34,5,Medium,284.69
Drumstick (Sohanjna),Medium,Spring,Lahore Badami Bagh,265,29.9,23.2,305.0,91,99,4,Medium,310.71
Sweet Potato (Shakarkandi),Low,Monsoon,Peshawar Central Mandi,64,29.6,55.9,305.0,493,44,4,Medium,105.33
Onion,Low,Winter,Sukkur Grain Market,107,2.7,10.5,305.0,122,27,2,Low,115.07
Mulberry (Shahtoot),High,Summer,Rawalpindi Raja Bazar,299,38.3,3.2,292.0,632,76,5,High,442.39
Coriander (Dhania),High,Summer,Hyderabad New Mandi,59,45.6,26.0,272.5,125,15,5,High,88.15
Dates (Aseel),Low,Winter,Hyderabad New Mandi,615,8.8,21.4,305.0,261,69,2,Medium,723.96
Raw Banana (Kacha Kela),Medium,Summer,Gujranwala Fruit Market,60,37.4,33.9,292.0,186,75,5,Medium,80.61
Ridge Gourd (Tori),High,Summer,Sukkur Grain Market,68,38.9,25.4,278.0,186,65,1,High,102.64
Guava (Amrood),High,Spring,Hyderabad New Mandi,86,19.3,7.7,292.0,139,47,1,Low,94.55
Drumstick (Sohanjna),Medium,Monsoon,Faisalabad Grain Market,221,33.8,72.9,305.0,174,89,1,Medium,265.26
Banana (Dhaka),High,Monsoon,Karachi Sabzi Mandi,183,27.6,52.3,272.5,155,92,4,Medium,219.44
Tomato,High,Winter,Islamabad Sabzi Mandi,59,14.7,17.1,305.0,399,14,5,Low,85.85
Wood Apple (Bael),Low,Spring,Islamabad Sabzi Mandi,122,26.7,21.6,305.0,349,95,5,Medium,162.71
Broccoli,High,Spring,Rawalpindi Raja Bazar,350,29.5,29.1,278.0,620,63,1,Medium,438.48
Apple (Golden),Low,Spring,Karachi Sabzi Mandi,385,23.2,23.3,305.0,359,104,5,Medium,465.78
Onion,Low,Spring,Sukkur Grain Market,128,26.8,5.2,284.5,192,84,3,Low,139.54
Raw Mango (Keri),Medium,Summer,Lahore Badami Bagh,100,44.1,33.7,292.0,392,17,2,Medium,139.35
Red Chili (Fresh),High,Winter,Rawalpindi Raja Bazar,169,2.7,13.1,272.5,542,48,4,Medium,225.49
Loquat,High,Monsoon,Faisalabad Grain Market,295,29.0,114.7,305.0,274,48,4,Medium,357.03
Wood Apple (Bael),Low,Monsoon,Quetta Satellite Town Mandi,138,27.0,92.7,292.0,470,53,1,Medium,187.38
Sweet Melon (Garma),Medium,Spring,Lahore Badami Bagh,112,25.8,3.6,278.0,127,36,2,Low,119.6
Grapefruit,Medium,Monsoon,Faisalabad Grain Market,136,35.2,61.7,292.0,192,47,3,Medium,168.36
Peach (Aroo),High,Winter,Rawalpindi Raja Bazar,214,14.5,6.2,272.5,362,44,4,Low,234.95
Falsa,High,Monsoon,Islamabad Sabzi Mandi,458,30.7,66.4,278.0,280,88,2,Medium,543.02
Garlic (Local),Low,Summer,Quetta Satellite Town Mandi,400,40.9,24.9,272.5,563,8,3,High,573.46
Grapes (Sundarkhani),High,Spring,Gujranwala Fruit Market,559,24.3,4.5,292.0,74,62,4,Low,563.79
Kiwi (Imported),Medium,Monsoon,Karachi Sabzi Mandi,612,33.7,59.1,284.5,1001,41,3,High,885.85
Cabbage,Medium,Winter,Rawalpindi Raja Bazar,46,9.7,24.6,284.5,181,100,2,Medium,63.72
Sweet Melon (Garma),Medium,Monsoon,Quetta Satellite Town Mandi,116,36.1,62.0,278.0,520,35,4,High,187.22
Green Chickpeas (Chholia),High,Winter,Karachi Sabzi Mandi,344,5.9,14.2,292.0,549,21,5,Medium,430.02
Cucumber (Kheera),High,Summer,Lahore Badami Bagh,73,31.6,19.2,278.0,235,88,4,Low,86.81
Orange (Fruiter),Medium,Monsoon,Gujranwala Fruit Market,276,31.5,119.5,292.0,153,15,1,Medium,326.99
Colocasia Leaves,High,Spring,Islamabad Sabzi Mandi,99,18.4,26.3,305.0,497,52,5,Medium,145.85
Onion,Low,Winter,Lahore Badami Bagh,108,18.8,16.2,305.0,416,58,4,Low,134.74
Fenugreek (Methi),High,Summer,Hyderabad New Mandi,60,39.7,5.8,272.5,136,38,1,Medium,76.84
Peas (Matar),High,Spring,Faisalabad Grain Market,188,26.2,22.3,272.5,247,28,4,Medium,230.84
Cherry,High,Summer,Islamabad Sabzi Mandi,502,42.4,3.2,292.0,424,26,5,Medium,603.93
Spinach (Palak),High,Monsoon,Sukkur Grain Market,55,35.4,58.3,284.5,176,75,2,High,84.8
Jamun,High,Summer,Peshawar Central Mandi,234,34.7,15.7,272.5,427,97,2,Medium,293.43
Onion,Low,Summer,Islamabad Sabzi Mandi,136,41.9,22.6,284.5,283,103,4,Medium,173.35
Apple (Garcha),Low,Winter,Karachi Sabzi Mandi,179,14.7,16.5,272.5,163,28,1,Low,188.41
Mint (Pudina),High,Winter,Islamabad Sabzi Mandi,56,14.6,7.4,272.5,262,8,5,Low,73.37
Lotus Stem (Bheen),Low,Spring,Rawalpindi Raja Bazar,122,26.2,23.9,272.5,459,100,4,Medium,166.54
Tomato,High,Spring,Lahore Badami Bagh,161,18.7,28.2,272.5,90,50,5,Medium,190.7
Drumstick (Sohanjna),Medium,Winter,Rawalpindi Raja Bazar,223,2.9,18.9,292.0,343,105,4,Low,244.04
Zucchini (Yellow),Medium,Monsoon,Quetta Satellite Town Mandi,146,33.7,65.4,278.0,724,100,2,High,239.12
Mushroom (Button),High,Summer,Peshawar Central Mandi,475,38.6,36.7,272.5,317,33,3,High,659.64
Arbi (Taro Root),Medium,Monsoon,Islamabad Sabzi Mandi,192,36.2,69.3,292.0,165,16,5,Medium,232.16
Eggplant (Baingan),Medium,Monsoon,Peshawar Central Mandi,54,30.7,57.2,272.5,199,80,4,Medium,73.62
Green Chilies,High,Spring,Islamabad Sabzi Mandi,164,23.1,19.7,305.0,521,9,4,Medium,223.51
Mango (Sindhri),High,Winter,Hyderabad New Mandi,165,10.1,18.1,284.5,123,26,4,Low,172.96
Lotus Stem (Bheen),Low,Summer,Lahore Badami Bagh,231,44.5,12.8,305.0,372,65,3,Medium,289.49
Cauliflower,Medium,Monsoon,Islamabad Sabzi Mandi,62,33.9,83.5,284.5,598,96,4,High,119.33
Ginger,Low,Monsoon,Islamabad Sabzi Mandi,720,27.2,63.2,305.0,224,19,2,Medium,842.68
Mango (Sindhri),High,Monsoon,Rawalpindi Raja Bazar,262,27.5,104.3,272.5,284,22,4,Medium,318.21
Sarda,Medium,Monsoon,Peshawar Central Mandi,151,34.4,104.2,278.0,551,6,1,High,236.4
Red Bell Pepper,High,Winter,Islamabad Sabzi Mandi,329,13.5,13.0,284.5,366,103,5,Low,350.91
Banana (Sindhi),High,Monsoon,Gujranwala Fruit Market,157,31.7,66.9,305.0,156,75,5,Medium,190.76
Chiku (Sapodilla),High,Spring,Sukkur Grain Market,178,28.5,14.0,278.0,271,48,3,Low,193.97
Chiku (Sapodilla),High,Winter,Faisalabad Grain Market,134,5.9,18.7,272.5,344,34,5,Low,154.17
Banana (Dhaka),High,Summer,Gujranwala Fruit Market,127,36.1,8.9,278.0,349,5,2,Medium,167.76
Arbi (Taro Root),Medium,Monsoon,Faisalabad Grain Market,148,35.5,75.8,272.5,146,66,1,Medium,178.56
Chiku (Sapodilla),High,Winter,Sukkur Grain Market,200,5.7,16.8,284.5,309,47,3,Low,218.6
Mango (Dusehri),High,Winter,Faisalabad Grain Market,307,16.7,10.0,278.0,109,14,5,Low,314.81
Green Chilies,High,Monsoon,Faisalabad Grain Market,231,28.8,42.0,305.0,340,19,4,Medium,288.15
Cluster Beans (Gwar),Medium,Winter,Karachi Sabzi Mandi,95,17.6,11.2,292.0,741,28,5,Medium,155.1
Dragon Fruit,Medium,Monsoon,Karachi Sabzi Mandi,1709,36.7,96.4,284.5,996,41,2,High,2366.4
Pomegranate (Bedana),Low,Spring,Quetta Satellite Town Mandi,692,23.9,21.0,292.0,798,89,5,Medium,844.59
Tomato,High,Spring,Rawalpindi Raja Bazar,143,21.7,5.9,305.0,579,70,5,Medium,201.56
Ridge Gourd (Tori),High,Winter,Quetta Satellite Town Mandi,79,4.7,22.9,272.5,759,73,2,Medium,134.06
Cabbage,Medium,Spring,Karachi Sabzi Mandi,62,26.9,28.1,272.5,525,43,1,Medium,101.21
Green Chickpeas (Chholia),High,Winter,Sukkur Grain Market,245,15.7,9.7,284.5,75,15,4,Low,250.57
Mustard Greens (Sarson),High,Spring,Islamabad Sabzi Mandi,41,29.3,17.6,305.0,156,92,5,Low,51.15
Mustard Greens (Sarson),High,Summer,Gujranwala Fruit Market,71,46.8,8.5,284.5,356,42,4,Medium,103.17
Spinach (Palak),High,Monsoon,Gujranwala Fruit Market,65,30.5,70.0,272.5,298,18,5,Medium,92.85
Apple (Garcha),Low,Summer,Peshawar Central Mandi,243,30.1,27.7,305.0,682,108,1,Medium,322.83
Grapes (Gola),High,Winter,Faisalabad Grain Market,253,18.2,23.0,278.0,69,47,1,Medium,295.04
Apple (Garcha),Low,Monsoon,Multan Goods Market,312,35.6,60.3,292.0,238,29,5,Medium,374.03
Lemon (Desi),Medium,Summer,Islamabad Sabzi Mandi,178,36.9,13.2,284.5,470,80,5,Low,206.14
Rambutan (Imported),High,Monsoon,Rawalpindi Raja Bazar,2159,31.4,76.5,292.0,636,97,4,High,2953.52
Chiku (Sapodilla),High,Spring,Karachi Sabzi Mandi,152,28.7,3.1,278.0,434,43,1,Low,177.24
Cucumber (Kheera),High,Monsoon,Gujranwala Fruit Market,123,35.1,85.9,272.5,333,75,4,High,185.19
Wood Apple (Bael),Low,Summer,Rawalpindi Raja Bazar,164,42.4,35.7,305.0,421,17,2,Medium,215.85
Lotus Stem (Bheen),Low,Summer,Quetta Satellite Town Mandi,231,46.9,0.4,278.0,450,8,3,Medium,293.21
Lychee,High,Summer,Gujranwala Fruit Market,313,45.4,7.3,292.0,296,44,5,Medium,378.46
Mosambi (Sweet Lime),Medium,Winter,Karachi Sabzi Mandi,266,4.8,22.7,278.0,802,46,5,Medium,352.83
Papaya,High,Summer,Quetta Satellite Town Mandi,155,46.9,15.8,272.5,800,36,4,High,255.15
Green Chickpeas (Chholia),High,Summer,Faisalabad Grain Market,199,31.1,32.6,278.0,202,104,5,Medium,240.76
Papaya,High,Winter,Islamabad Sabzi Mandi,275,17.2,5.2,278.0,499,54,2,Low,304.06
Lychee,High,Spring,Gujranwala Fruit Market,641,29.8,23.6,284.5,239,63,1,Medium,751.39
Eggplant (Baingan),Medium,Summer,Islamabad Sabzi Mandi,47,38.0,18.1,305.0,421,82,2,Low,73.86
Loquat,High,Monsoon,Gujranwala Fruit Market,202,30.1,99.4,305.0,301,100,5,Medium,251.65
Lettuce,High,Spring,Hyderabad New Mandi,112,25.4,23.4,284.5,228,76,4,Medium,142.55
Kiwi (Imported),Medium,Spring,Multan Goods Market,958,24.4,1.6,305.0,108,75,1,Low,964.92
Lotus Stem (Bheen),Low,Monsoon,Rawalpindi Raja Bazar,198,36.5,76.2,272.5,203,17,2,Medium,239.72
Celery,High,Monsoon,Sukkur Grain Market,228,34.7,60.1,292.0,303,63,2,High,326.37
Dragon Fruit,Medium,Winter,Islamabad Sabzi Mandi,1612,6.6,9.1,292.0,445,95,4,Low,1639.26
Spring Onion,High,Summer,Quetta Satellite Town Mandi,113,36.2,11.2,278.0,420,35,5,Medium,154.9
Peas (Matar),High,Monsoon,Faisalabad Grain Market,144,29.8,51.2,305.0,292,88,1,Medium,184.2
Melon (Kharbooza),Medium,Winter,Quetta Satellite Town Mandi,57,2.2,24.4,284.5,585,26,1,Medium,100.39
Sweet Melon (Garma),Medium,Winter,Rawalpindi Raja Bazar,72,3.3,8.9,292.0,317,26,5,Low,92.12
Raw Banana (Kacha Kela),Medium,Spring,Lahore Badami Bagh,86,28.0,0.1,292.0,295,67,1,Low,104.01
Sweet Lime (Malta),Medium,Winter,Lahore Badami Bagh,171,16.0,10.5,305.0,274,88,3,Low,188.56
Grapes (Black),High,Winter,Faisalabad Grain Market,336,5.8,3.8,278.0,158,49,1,Low,345.24
Guava (Amrood),High,Winter,Hyderabad New Mandi,108,17.0,7.2,272.5,72,39,4,Low,112.54
Rambutan (Imported),High,Spring,Hyderabad New Mandi,1687,23.7,10.7,284.5,81,7,3,Low,1693.49
Green Chilies,High,Monsoon,Multan Goods Market,189,36.4,51.5,272.5,232,47,3,High,268.6
Lettuce,High,Winter,Gujranwala Fruit Market,76,19.7,0.5,272.5,361,83,2,Low,96.6
Sarda,Medium,Summer,Hyderabad New Mandi,115,33.6,18.9,292.0,100,29,3,Low,121.53
Green Chilies,High,Spring,Islamabad Sabzi Mandi,235,20.1,7.5,272.5,232,38,5,Low,248.75
Plum (Aloo Bukhara),High,Monsoon,Rawalpindi Raja Bazar,276,37.8,89.0,284.5,233,88,1,High,386.46
Orange (Kinnow),Medium,Winter,Peshawar Central Mandi,87,2.8,11.9,292.0,192,13,2,Low,99.32
Potato,Low,Spring,Lahore Badami Bagh,44,25.0,9.9,284.5,493,69,2,Low,73.35
Mosambi (Sweet Lime),Medium,Monsoon,Sukkur Grain Market,140,36.7,104.8,278.0,207,67,4,Medium,173.25
Dates (Rabai),Low,Monsoon,Sukkur Grain Market,677,30.8,100.6,272.5,281,46,4,Medium,794.89
Mulberry (Shahtoot),High,Summer,Gujranwala Fruit Market,257,39.5,32.5,292.0,100,16,5,High,354.36
Mustard Greens (Sarson),High,Winter,Multan Goods Market,37,10.8,2.8,292.0,132,102,4,Low,45.2
Green Chilies,High,Summer,Karachi Sabzi Mandi,217,35.6,25.0,284.5,555,91,3,High,325.99
Banana (Dhaka),High,Spring,Quetta Satellite Town Mandi,192,29.5,26.5,292.0,587,95,5,Medium,256.74
Apricot (Khubani),High,Winter,Islamabad Sabzi Mandi,258,17.1,13.7,305.0,489,105,1,Low,289.11
Avocado,Medium,Spring,Hyderabad New Mandi,1164,20.2,0.5,284.5,77,63,5,Low,1168.92
Cabbage,Medium,Spring,Sukkur Grain Market,91,22.2,23.0,284.5,234,37,1,Medium,118.64
Orange (Fruiter),Medium,Winter,Karachi Sabzi Mandi,154,6.5,7.3,278.0,317,87,4,Low,172.56
Mango (Dusehri),High,Monsoon,Peshawar Central Mandi,175,27.4,96.7,305.0,450,109,3,Medium,229.97
Mango (Dusehri),High,Spring,Multan Goods Market,225,21.4,18.9,272.5,190,105,1,Low,235.83
Grapes (Gola),High,Spring,Quetta Satellite Town Mandi,394,24.3,29.8,278.0,217,34,1,Medium,465.8
Grapefruit,Medium,Winter,Faisalabad Grain Market,113,19.0,9.9,272.5,343,18,5,Low,133.66
Green Apple,Low,Monsoon,Hyderabad New Mandi,345,35.6,72.5,278.0,134,61,2,Medium,404.66
Red Chili (Fresh),High,Summer,Multan Goods Market,126,34.9,0.6,272.5,200,42,3,Medium,156.57
Strawberry,High,Winter,Islamabad Sabzi Mandi,426,14.9,7.0,305.0,370,26,2,Low,449.84
Banana (Sindhi),High,Spring,Quetta Satellite Town Mandi,148,23.8,5.0,292.0,326,57,5,Low,168.22
Ginger,Low,Winter,Hyderabad New Mandi,425,3.2,18.7,272.5,87,71,2,Low,430.06
Potato,Low,Summer,Multan Goods Market,85,35.3,10.2,284.5,79,82,3,Low,89.85
Mango (Chaunsa),High,Summer,Multan Goods Market,256,34.7,4.2,284.5,210,46,2,Medium,307.04
Sweet Lime (Malta),Medium,Spring,Peshawar Central Mandi,237,18.4,5.6,272.5,243,34,3,Low,251.18
Sweet Melon (Garma),Medium,Monsoon,Hyderabad New Mandi,91,35.6,118.5,272.5,239,83,3,Medium,118.38
Fig (Anjeer Fresh),High,Summer,Multan Goods Market,419,39.3,32.2,292.0,244,69,3,High,580.69
Cabbage,Medium,Winter,Rawalpindi Raja Bazar,36,6.6,17.1,305.0,526,21,1,Medium,75.03
Cucumber (Kheera),High,Monsoon,Lahore Badami Bagh,79,36.7,89.4,284.5,383,5,4,High,132.35
Spinach (Palak),High,Summer,Sukkur Grain Market,52,42.6,4.0,305.0,292,53,5,Medium,78.77
Rambutan (Imported),High,Winter,Karachi Sabzi Mandi,1018,8.4,0.8,284.5,688,69,5,Medium,1211.8
Spinach (Palak),High,Winter,Lahore Badami Bagh,29,5.0,7.4,272.5,423,36,4,Low,53.5
Mango (Chaunsa),High,Spring,Hyderabad New Mandi,213,29.4,1.2,292.0,153,57,3,Low,222.54
Custard Apple (Sharifa),High,Spring,Quetta Satellite Town Mandi,528,23.4,23.1,292.0,338,99,3,Medium,627.9
Ginger,Low,Winter,Peshawar Central Mandi,438,11.1,14.7,278.0,255,75,1,Low,452.83
Red Bell Pepper,High,Spring,Multan Goods Market,310,29.2,19.5,305.0,150,79,1,Low,319.59
Grapefruit,Medium,Spring,Karachi Sabzi Mandi,143,27.1,1.2,272.5,172,91,1,Low,152.81
Rambutan (Imported),High,Summer,Rawalpindi Raja Bazar,1449,44.3,16.9,305.0,388,53,5,Medium,1691.42
Potato,Low,Monsoon,Hyderabad New Mandi,44,26.2,108.0,278.0,136,46,2,Medium,58.67
Apple (Kala Kulu),Low,Summer,Karachi Sabzi Mandi,303,47.2,24.1,272.5,377,57,5,Medium,370.24
Mulberry (Shahtoot),High,Monsoon,Quetta Satellite Town Mandi,404,36.7,55.6,278.0,608,65,3,High,580.82
Zucchini (Yellow),Medium,Summer,Multan Goods Market,216,40.9,18.0,284.5,128,22,5,Medium,256.96
Turnip (Shalgam),Medium,Winter,Peshawar Central Mandi,46,2.7,15.7,305.0,478,11,3,Low,77.5
Pineapple,Low,Spring,Hyderabad New Mandi,597,24.9,1.3,278.0,144,66,2,Low,605.47
Raw Banana (Kacha Kela),Medium,Summer,Islamabad Sabzi Mandi,52,33.7,11.6,284.5,456,61,2,Low,79.17
Grapes (Gola),High,Monsoon,Faisalabad Grain Market,320,28.3,92.0,278.0,113,96,3,Medium,374.68
Grapefruit,Medium,Spring,Multan Goods Market,156,24.4,11.0,305.0,192,45,3,Low,168.49
Green Chickpeas (Chholia),High,Spring,Hyderabad New Mandi,204,23.2,29.0,305.0,292,54,1,Medium,253.24
Bitter Gourd (Karela),High,Summer,Multan Goods Market,139,32.0,7.5,278.0,79,25,2,Low,143.92
Grapes (Gola),High,Spring,Multan Goods Market,411,24.5,29.3,292.0,125,71,5,Medium,480.57
Watermelon (Tarbooz),Medium,Monsoon,Lahore Badami Bagh,72,34.9,105.6,305.0,446,81,4,Medium,111.36
Lettuce,High,Summer,Quetta Satellite Town Mandi,138,43.2,3.1,284.5,295,77,5,Medium,176.47
Apple (Garcha),Low,Monsoon,Gujranwala Fruit Market,247,29.5,83.2,278.0,274,25,4,Medium,300.61
